Mod name											|License		|Source code												|ZH version	|Completion rate		|Verified	|Pushed		|on_tick
[Stone Water Well]: https://mods.factorio.com/mod/StoneWaterWell "bSun0000, 0.15 update support from ElecNinja, 0.16 update as offshore pump by Roy"
[Test Site]: https://mods.factorio.com/mod/TestSite "DellAquila"
[Text Plates]: https://mods.factorio.com/mod/textplates "Earendel, gheift"
[The Fat Controller]: https://mods.factorio.com/mod/TheFatController "Choumiko, JamesOFarrell"
[Time Tools (+game speed +clock combinators)]: https://mods.factorio.com/mod/TimeTools "BinbinHfr"
[Tree Collision]: https://mods.factorio.com/mod/tree_collision "skomick"
[Underground Indicators]: https://mods.factorio.com/mod/Underground%20Indicators "Raeon"
[Utilization Monitor]: https://mods.factorio.com/mod/UtilizationMonitor "Andras Suller"
[Vehicle Wagon]: https://mods.factorio.com/mod/Vehicle%20Wagon "Supercheese"
[Wagon Colors]: https://mods.factorio.com/mod/WagonColors "Optera"
[Wire Shortcuts]: https://mods.factorio.com/mod/WireShortcuts "daydev"
[YARM - Resource Monitor]: https://mods.factorio.com/mod/YARM "Octav 'narc' Sandulescu, based on work by drs, jorgenRe, and L0771"


[Afforess/Factorio-Stdlib]: https://github.com/Afforess/Factorio-Stdlib "Afforess/Factorio-Stdlib"
[dtandersen/AdequateBotStart]: https://github.com/dtandersen/AdequateBotStart "dtandersen/AdequateBotStart"
[sirdoombox/AtomicArtillery]: https://github.com/sirdoombox/AtomicArtillery "sirdoombox/AtomicArtillery"
[canidae/factorio]: https://github.com/canidae/factorio "canidae/factorio"
[Cogito/belt-reverser]: https://github.com/Cogito/belt-reverser "Cogito/belt-reverser"
[GeekinaCave/better_ore_icons]: https://github.com/GeekinaCave/better_ore_icons "GeekinaCave/better_ore_icons"
[DaveMcW/blueprint-train]: https://github.com/DaveMcW/blueprint-train "DaveMcW/blueprint-train"
[steffen-kiess/factorio-BlueprintAlignment]: https://github.com/steffen-kiess/factorio-BlueprintAlignment "steffen-kiess/factorio-BlueprintAlignment"
[troelsbjerre/Bottleneck]: https://github.com/troelsbjerre/Bottleneck "troelsbjerre/Bottleneck"
[theRustyKnife/CraftingCombinator]: https://github.com/theRustyKnife/CraftingCombinator "theRustyKnife/CraftingCombinator"
[derektom14/factorio_cement_shoes]: https://github.com/derektom14/factorio_cement_shoes "derektom14/factorio_cement_shoes"
[MarcGamesons/factoriomod-cheaper-landfill]: https://github.com/MarcGamesons/factoriomod-cheaper-landfill "MarcGamesons/factoriomod-cheaper-landfill"
[audun/factorio-closestfirst]: https://github.com/audun/factorio-closestfirst "audun/factorio-closestfirst"
[Aidiakapi/controllinator]: https://github.com/Aidiakapi/controllinator "Aidiakapi/controllinator"
[shanemadden/factorio-deadlock-crating]: https://github.com/shanemadden/factorio-deadlock-crating "shanemadden/factorio-deadlock-crating"
[shanemadden/factorio-deadlock-beltboxes-loaders]: https://github.com/shanemadden/factorio-deadlock-beltboxes-loaders "shanemadden/factorio-deadlock-beltboxes-loaders"
[shanemadden/factorio-deadlock-experiments]: https://github.com/shanemadden/factorio-deadlock-experiments "shanemadden/factorio-deadlock-experiments"
[shanemadden/factorio-deadlock-integrations]: https://github.com/shanemadden/factorio-deadlock-integrations "shanemadden/factorio-deadlock-integrations"
[VortiK/vtk-deep-core-mining]: https://github.com/VortiK/vtk-deep-core-mining "VortiK/vtk-deep-core-mining"
[Danielv123/factorioDelorean]: https://github.com/Danielv123/factorioDelorean "Danielv123/factorioDelorean"
[osldgoth/Enhanced_Map_Colors]: https://github.com/osldgoth/Enhanced_Map_Colors "osldgoth/Enhanced_Map_Colors"
[sparr/factorio-mod-entity-symmetry]: https://github.com/sparr/factorio-mod-entity-symmetry "sparr/factorio-mod-entity-symmetry"
[321freddy/even-distribution]: https://github.com/321freddy/even-distribution "321freddy/even-distribution"
[jfmmm/Factorio-fire-extinguisher-mod]: https://github.com/jfmmm/Factorio-fire-extinguisher-mod "jfmmm/Factorio-fire-extinguisher-mod"
[terite/factorio-unconnected-pipe-finder]: https://github.com/terite/factorio-unconnected-pipe-finder "terite/factorio-unconnected-pipe-finder"
[MagmaMcFry/Factorissimo2]: https://github.com/MagmaMcFry/Factorissimo2 "MagmaMcFry/Factorissimo2"
[Choumiko/FARL]: https://github.com/Choumiko/FARL "Choumiko/FARL"
[folknor/factorio-stopthat]: https://github.com/folknor/factorio-stopthat "folknor/factorio-stopthat"
[ReikaKalseki/Geothermal]: https://github.com/ReikaKalseki/Geothermal "ReikaKalseki/Geothermal"
[Yousei9/GhostScanner]: https://github.com/Yousei9/GhostScanner "Yousei9/GhostScanner"
[qix-/factorio-hand-crank]: https://github.com/qix-/factorio-hand-crank "qix-/factorio-hand-crank"
[Helfima/helmod]: https://github.com/Helfima/helmod "Helfima/helmod"
[Yousei9/Inventory-Sensor]: https://github.com/Yousei9/Inventory-Sensor "Yousei9/Inventory-Sensor"
[Godmave/lampsonmap]: https://github.com/Godmave/lampsonmap "Godmave/lampsonmap"
[Omnifarious/LD_AutoCircuit]: https://github.com/Omnifarious/LD_AutoCircuit "Omnifarious/LD_AutoCircuit"
[dewiniaid/FactorioModDeveloperTools]: https://github.com/dewiniaid/FactorioModDeveloperTools "dewiniaid/FactorioModDeveloperTools"
[lingo/factorio-mod-muro]: https://github.com/lingo/factorio-mod-muro "lingo/factorio-mod-muro"
[CyaNox/Noxys_Deep_Core_Mining_Tweak]: https://github.com/CyaNox/Noxys_Deep_Core_Mining_Tweak "CyaNox/Noxys_Deep_Core_Mining_Tweak"
[CyaNox/Noxys_Swimming]: https://github.com/CyaNox/Noxys_Swimming "CyaNox/Noxys_Swimming"
[CyaNox/Noxys_Waterfill]: https://github.com/CyaNox/Noxys_Waterfill "CyaNox/Noxys_Waterfill"
[muink/nuclear-fuel-cycle]: https://github.com/muink/nuclear-fuel-cycle "muink/nuclear-fuel-cycle"
[Suprcheese/Orbital-Ion-Cannon]: https://github.com/Suprcheese/Orbital-Ion-Cannon "Suprcheese/Orbital-Ion-Cannon"
[Ben-Ramchandani/OutpostPlanner]: https://github.com/Ben-Ramchandani/OutpostPlanner "Ben-Ramchandani/OutpostPlanner"
[Ben-Ramchandani/PlannerCore]: https://github.com/Ben-Ramchandani/PlannerCore "Ben-Ramchandani/PlannerCore"
[Nexela/PickerAtheneum]: https://github.com/Nexela/PickerAtheneum "Nexela/PickerAtheneum"
[Nexela/PickerExtended]: https://github.com/Nexela/PickerExtended "Nexela/PickerExtended"
[Nexela/PickerBeltTools]: https://github.com/Nexela/PickerBeltTools "Nexela/PickerBeltTools"
[Nexela/PickerBlueprinter]: https://github.com/Nexela/PickerBlueprinter "Nexela/PickerBlueprinter"
[Nexela/PickerCheats]: https://github.com/Nexela/PickerCheats "Nexela/PickerCheats"
[Nexela/PickerDollies]: https://github.com/Nexela/PickerDollies "Nexela/PickerDollies"
[Nexela/PickerEquipmentKeys]: https://github.com/Nexela/PickerEquipmentKeys "Nexela/PickerEquipmentKeys"
[Nexela/PickerInventoryTools]: https://github.com/Nexela/PickerInventoryTools "Nexela/PickerInventoryTools"
[Nexela/PickerVehicles]: https://github.com/Nexela/PickerVehicles "Nexela/PickerVehicles"
[Nexela/PickerPipeTools]: https://github.com/Nexela/PickerPipeTools "Nexela/PickerPipeTools"
[Nexela/PickerTweaks]: https://github.com/Nexela/PickerTweaks "Nexela/PickerTweaks"
[pavel-krush/pollution-control]:  https://github.com/pavel-krush/pollution-control "pavel-krush/pollution-control"
[shanemadden/factorio-power-grid-comb]: https://github.com/shanemadden/factorio-power-grid-comb "shanemadden/factorio-power-grid-comb"
[ClaudeMetz/QuickBarImportExport]: https://github.com/ClaudeMetz/QuickBarImportExport "ClaudeMetz/QuickBarImportExport"
[Jarcionek/Factorio-Quick-Deconstruct]: https://github.com/Jarcionek/Factorio-Quick-Deconstruct "Jarcionek/Factorio-Quick-Deconstruct"
[jonatkins/RadarGridGuide]: https://github.com/jonatkins/RadarGridGuide "jonatkins/RadarGridGuide"
[ouk-ouk/Factorio-RealisticOres]: https://github.com/ouk-ouk/Factorio-RealisticOres "ouk-ouk/Factorio-RealisticOres"
[ouk-ouk/Factorio-RealisticReactorGlow]: https://github.com/ouk-ouk/Factorio-RealisticReactorGlow "ouk-ouk/Factorio-RealisticReactorGlow"
[IngoKnieto/factorio-realistic-reactors]: https://github.com/IngoKnieto/factorio-realistic-reactors "IngoKnieto/factorio-realistic-reactors"
[ElmarWueest/Recexplo]: https://github.com/ElmarWueest/Recexplo "ElmarWueest/Recexplo"
[DaveMcW/factorio-bad-chest]: https://github.com/DaveMcW/factorio-bad-chest "DaveMcW/factorio-bad-chest"
[BJNick/factorio-recycling]: https://github.com/BJNick/factorio-recycling "BJNick/factorio-recycling"
[Pandemoneus/Resource-Labels]: https://github.com/Pandemoneus/Resource-Labels "Pandemoneus/Resource-Labels"
[npc-strider/factorio-shortcuts]: https://github.com/npc-strider/factorio-shortcuts "npc-strider/factorio-shortcuts"
[will-janz/factorio-simple-saplings]: https://github.com/will-janz/factorio-simple-saplings "will-janz/factorio-simple-saplings"
[Nexela/SmarterBotRecharge]: https://github.com/Nexela/SmarterBotRecharge "Nexela/SmarterBotRecharge"
[Choumiko/TheFatController]: https://github.com/Choumiko/TheFatController "Choumiko/TheFatController"
[sullerandras/UtilizationMonitor]: https://github.com/sullerandras/UtilizationMonitor "sullerandras/UtilizationMonitor"
[Suprcheese/Vehicle-Wagon]: https://github.com/Suprcheese/Vehicle-Wagon "Suprcheese/Vehicle-Wagon"
[daydev/FactorioWireShortcuts]: https://github.com/daydev/FactorioWireShortcuts "daydev/FactorioWireShortcuts"
[narc0tiq/YARM]: https://github.com/narc0tiq/YARM "narc0tiq/YARM"
